Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Referee,Match Report,Notes,Shots on target against,Saves,Save %,Clean sheets,PSxG,PSxG+/-,40+ yard GK passes completed,40+ yard GK passes attempted,40+ yard GK completion %,GK open play passes attempted,GK throws attempted,% of passes launched by GK,Average length of GK pass,Goalkicks attempted,% of goakicks launched,Average length of goalkicks,Opposition crosses into area,Penalty area crosses stopped,Penalty area crosses stopped %,Def actions outside penalty area by GK,Average distance of GK def actions,Goals,Pens scored,Pens attempted,Shots,Shots on target,Free-kick shots,Shot on target %,Goals/Shot,Goals/Shots on target,npxG,npxG/Shot,Goals-xG,np:Goals-xG,Total passes completed,Total passes attempted,Total pass %,Total distance of passes,Progressive distance of passes,Short passes completed,Short passes attempted,Short pass %,Medium passes completed,Medium passes attempted,Medium pass %,Long passes completed,Long passes attempted,Long pass %,Assists,xA,Key passes,Passes into final third,Passes into penalty area,Crosses into penalty area,Progressive passes,Live passes,Dead ball passes,Free-kick passes,Through balls,Passes under pressure,Switches,Crosses,Corners,In-swinging corners,Out-swinging corners,Straight corners,Ground passes,Low passes,High passes,Left foot passes,Right foot passes,Headed passes,Throws taken,Other body part passes,Offsides,Out of bounds passes,Intercepted passes,Blocked passes,SCA,Live pass SCA,Dead ball SCA,Dribble SCA,Shot SCA,Foul SCA,GCA,Live pass GCA,Dead ball GCA,Dribble GCA,Shot GCA,Foul GCA,Own goal GCA,Tackles attempted,Tackles won,Tackles in def 3rd,Tackles in mid 3rd,Tackles in final 3rd,Tackles won against dribbles,Tackles attempted vs dribbles,Tackle% against dribbles,# Dribbled past,Pressures,Successful pressures,Pressure success %,Pressures in def 3rd,Pressures in mid 3rd,Pressures in final 3rd,Blocks,Shots blocked,Shots on target blocked,Passes blocked,Interceptions,Clearances,Errors,Touches,Touches in def area,Touches in def 3rd,Touches in middle 3rd,Touches in final 3rd,Touches in opposition pen area,Live ball touches,Successful dribbles,Attempted dribbles,Dribble success %,#Players dribbled past,Nutmegs,Carries,Total distance of carries,Progressive distance of carries,Targets,Balls received %,Miscontrols,Dispossessed,Points taken
2019-08-09,20:00 (00:30),Matchweek 1,Fri,Home,W,4,1,Norwich City,1.9,1.0,57,53333.0,Jordan Henderson,4-3-3,Michael Oliver,Match Report,,6,5,0.833,0,1.2,0.2,6,10,60.0,26,2,30.8,34.2,6,33.3,28.0,4,0,0.0,1,25.0,3,0,0,15,7,1,46.7,0.2,0.43,1.9,0.13,1.1,1.1,409,521,78.5,8640,2649,5,19,26.3,285,336,84.8,119,166,71.7,3,1.6,10,36,16,3,59,472,49,12,1,104,17,32,11,2,6,0,331,51,139,134,335,16,18,4,0,13,10,15,21,16,1,1,1,1,7,5,1,0,0,0,1,24,12,9,9,6,7,10,70.0,3,158,47,29.7,31,69,58,15,2,0,13,14,5,0,633,49,135,306,228,44,585,10,14,71.4,11,1,434,2433,1406,495,82.6,12,14,3
2019-08-17,15:00 (19:30),Matchweek 2,Sat,Away,W,2,1,Southampton,1.5,1.6,63,31712.0,James Milner,4-3-3,Andre Marriner,Match Report,,3,2,0.667,0,1.3,0.3,8,13,61.5,26,6,38.5,31.1,10,30.0,29.9,7,1,14.3,0,9.8,2,0,0,15,5,1,33.3,0.13,0.4,1.5,0.1,0.5,0.5,442,565,78.2,9474,2834,8,24,33.3,303,358,84.6,131,183,71.6,2,1.3,11,31,14,2,44,501,64,13,5,106,29,24,9,2,5,0,327,115,123,140,343,30,30,7,1,15,5,21,23,18,1,1,1,2,4,3,0,1,0,0,0,4,1,2,2,0,2,13,15.4,11,129,41,31.8,58,54,17,18,4,0,14,10,32,1,699,76,261,292,180,24,635,8,15,53.3,9,1,449,2207,1206,536,82.5,14,15,3
2019-08-24,17:30 (22:00),Matchweek 3,Sat,Home,W,3,1,Arsenal,2.3,1.0,52,53298.0,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,,3,2,0.667,0,1.1,0.1,6,11,54.5,17,4,41.2,39.1,9,44.4,38.0,5,2,40.0,2,18.5,3,1,1,24,4,0,16.7,0.08,0.5,1.5,0.07,0.7,0.5,492,578,85.1,10150,3120,14,25,56.0,344,375,91.7,134,178,75.3,2,1.2,19,59,16,6,58,533,45,9,1,82,26,27,6,0,4,0,388,71,119,158,375,19,19,6,0,7,6,14,36,26,4,4,1,1,5,2,1,1,0,1,0,24,18,6,10,8,8,24,33.3,16,190,46,24.2,40,74,76,15,2,0,13,9,16,1,697,42,128,284,342,44,652,13,19,68.4,14,2,515,2634,1624,552,89.1,10,14,3
2019-08-31,17:30 (22:00),Matchweek 4,Sat,Away,W,3,0,Burnley,1.0,0.5,63,21762.0,Jordan Henderson,4-3-3,Chris Kavanagh,Match Report,,2,2,1.0,1,0.7,0.7,7,23,30.4,38,8,50.0,40.5,8,50.0,48.0,8,0,0.0,0,14.8,2,0,0,15,6,0,40.0,0.13,0.33,1.0,0.06,1.0,1.0,448,581,77.1,9152,2932,10,21,47.6,316,367,86.1,122,193,63.2,2,0.8,11,28,9,0,51,531,50,15,4,84,17,18,4,0,3,0,365,69,147,141,352,37,22,13,1,10,14,11,25,17,1,5,1,0,5,2,0,2,0,0,1,14,10,7,3,4,4,16,25.0,12,111,39,35.1,31,50,30,15,1,0,14,9,26,0,687,72,235,332,165,29,638,16,25,64.0,19,0,456,2518,1468,548,81.8,10,3,3
2019-09-14,12:30 (17:00),Matchweek 5,Sat,Home,W,3,1,Newcastle Utd,2.7,0.4,73,51430.0,Virgil van Dijk,4-3-3,Andre Marriner,Match Report,,1,0,0.0,0,0.2,-0.8,2,3,66.7,18,4,16.7,26.7,4,0.0,24.5,5,1,20.0,0,4.0,3,0,0,20,8,0,40.0,0.15,0.38,2.7,0.14,0.3,0.3,769,866,88.8,15284,4101,6,22,27.3,556,603,92.2,207,241,85.9,2,1.4,17,79,21,3,84,825,41,12,1,124,22,36,10,0,8,0,658,116,92,224,595,22,13,5,2,10,6,23,32,27,3,1,1,0,4,3,0,1,0,0,0,15,12,0,10,5,10,22,45.5,12,132,40,30.3,18,56,58,9,3,0,6,9,23,0,989,35,147,560,347,49,948,13,18,72.2,13,0,710,3422,1973,857,89.7,18,16,3
2019-09-22,16:30 (21:00),Matchweek 6,Sun,Away,W,2,1,Chelsea,0.9,1.3,45,40638.0,Jordan Henderson,4-3-3,Michael Oliver,Match Report,,2,1,0.5,0,0.7,-0.3,5,21,23.8,25,4,52.0,45.3,11,72.7,47.3,20,0,0.0,0,11.6,2,0,0,6,3,0,50.0,0.33,0.67,0.9,0.15,1.1,1.1,319,439,72.7,6634,2451,3,20,15.0,224,267,83.9,92,152,60.5,2,0.9,6,27,7,3,47,378,61,15,3,113,19,10,3,0,2,0,238,85,116,102,274,18,30,8,1,15,5,21,11,7,3,0,0,1,4,1,2,0,0,1,0,9,6,2,5,2,5,15,33.3,10,234,62,26.5,76,88,70,15,3,0,12,11,44,0,562,74,184,234,164,21,501,11,12,91.7,12,0,323,1509,720,424,75.2,22,13,3
2019-09-28,12:30 (17:00),Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,1.6,1.4,70,31774.0,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,,2,2,1.0,1,0.2,0.2,8,15,53.3,27,6,48.1,41.9,9,22.2,29.9,8,0,0.0,2,13.0,1,0,0,16,4,0,25.0,0.06,0.25,1.6,0.1,-0.6,-0.6,612,720,85.0,12893,3575,8,23,34.8,425,462,92.0,179,235,76.2,0,0.9,6,45,15,0,52,674,46,8,4,139,32,23,5,2,1,1,526,80,114,157,503,12,23,8,1,13,11,20,15,10,2,3,0,0,0,0,0,0,0,0,0,15,10,6,6,3,5,11,45.5,6,135,51,37.8,42,56,37,18,4,0,14,8,37,0,852,69,238,445,216,32,806,8,11,72.7,9,0,546,2722,1613,694,88.2,11,12,3
2019-10-05,15:00 (19:30),Matchweek 8,Sat,Home,W,2,1,Leicester City,2.8,0.2,53,53322.0,James Milner,4-3-3,Chris Kavanagh,Match Report,,1,0,0.0,0,0.2,-0.8,9,17,52.9,27,6,59.3,42.5,1,100.0,42.0,9,1,11.1,0,10.0,2,1,1,17,7,1,41.2,0.06,0.14,2.0,0.13,-0.8,-1.0,421,542,77.7,8921,3200,7,20,35.0,300,345,87.0,114,177,64.4,1,1.9,15,36,10,4,52,484,58,17,1,83,23,17,4,1,2,0,304,91,147,115,347,33,34,9,3,4,9,17,32,21,2,4,1,4,3,2,0,0,0,1,0,16,11,7,6,3,5,21,23.8,16,198,63,31.8,57,76,65,21,0,0,21,13,32,0,673,64,209,326,179,30,618,18,21,85.7,19,1,350,2156,1284,525,80.2,15,12,3
2019-10-20,16:30 (21:00),Matchweek 9,Sun,Away,D,1,1,Manchester Utd,1.2,0.7,66,73737.0,Jordan Henderson,4-3-3,Martin Atkinson,Match Report,,2,1,0.5,0,0.8,-0.2,6,8,75.0,33,5,18.2,31.6,4,50.0,40.3,9,0,0.0,0,10.0,1,0,0,10,4,0,40.0,0.1,0.25,1.2,0.12,-0.2,-0.2,551,651,84.6,11226,3399,6,16,37.5,406,451,90.0,139,184,75.5,1,1.1,9,40,9,2,46,616,35,10,0,158,15,23,1,1,0,0,435,106,110,136,446,31,18,10,1,10,15,10,17,12,2,2,0,1,2,2,0,0,0,0,0,22,11,5,14,3,10,18,55.6,8,138,46,33.3,37,63,38,15,1,0,14,12,41,0,799,57,207,458,186,16,765,8,12,66.7,8,0,548,2881,1471,625,88.2,24,11,1
2019-10-27,16:30 (22:00),Matchweek 10,Sun,Home,W,2,1,Tottenham,2.5,1.4,66,53222.0,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,,4,3,0.75,0,1.4,0.4,6,14,42.9,28,3,39.3,38.5,9,33.3,33.3,6,0,0.0,1,16.2,2,1,1,20,12,1,60.0,0.05,0.08,1.8,0.09,-0.5,-0.8,549,659,83.3,12234,3448,5,19,26.3,363,403,90.1,181,237,76.4,0,1.5,16,57,19,6,60,606,53,12,1,90,27,33,8,1,5,0,418,110,131,136,464,16,22,6,0,12,2,17,32,20,6,2,1,3,1,0,0,0,0,1,0,24,15,5,17,2,6,15,40.0,9,122,30,24.6,36,55,31,14,2,0,12,12,29,0,792,63,169,389,275,41,737,8,17,47.1,11,0,568,2780,1505,639,85.9,10,12,3
